no	date	place	latitude	longitude	deep	mag	intensity	name
1	2018/07/31 17:42:20.2	福島県沖	37°09.3′N	141°13.7′E	21km	Ｍ5.8	４
2	2018/07/25 07:31:28.1	熊本県熊本地方	32°43.3′N	130°47.8′E	5km	Ｍ4.4	４
3	2018/07/17 04:34:12.1	茨城県沖	36°25.8′N	140°41.5′E	52km	Ｍ4.8	４
4	2018/07/16 02:13:39.5	日高地方東部	42°19.2′N	142°59.8′E	55km	Ｍ4.9	４
5	2018/07/07 20:23:48.9	千葉県東方沖	35°09.9′N	140°35.5′E	57km	Ｍ6.0	５弱
6	2018/07/02 02:27:00.8	青森県東方沖	41°29.6′N	142°03.8′E	64km	Ｍ4.9	４
7	2018/06/26 19:46:22.3	千葉県南部	35°20.9′N	140°20.7′E	26km	Ｍ4.3	４
8	2018/06/26 17:00:09.6	広島県北部	34°55.8′N	132°52.3′E	12km	Ｍ5.0	４
9	2018/06/19 00:31:25.0	大阪府北部	34°51.5′N	135°36.4′E	10km	Ｍ4.1	４
10	2018/06/18 07:58:34.1	大阪府北部	34°50.6′N	135°37.3′E	13km	Ｍ6.1	６弱
11	2018/06/17 15:27:21.8	群馬県南部	36°27.3′N	139°10.3′E	14km	Ｍ4.6	５弱
12	2018/06/16 11:09:10.0	千葉県北東部	35°21.0′N	140°19.4′E	26km	Ｍ4.4	４
13	2018/06/12 04:54:21.3	大隅半島東方沖	31°11.3′N	131°33.5′E	28km	Ｍ5.6	４
14	2018/05/25 21:13:42.2	長野県北部	36°56.4′N	138°35.3′E	6km	Ｍ5.2	５強
15	2018/05/18 03:42:13.6	釧路沖	42°43.5′N	145°28.2′E	47km	Ｍ5.8	４
16	2018/05/17 12:12:31.7	千葉県北東部	35°42.9′N	140°43.8′E	52km	Ｍ5.3	４
17	2018/05/13 01:49:38.2	宮城県沖	38°31.8′N	141°48.9′E	50km	Ｍ4.8	４
18	2018/05/12 10:29:30.0	長野県北部	36°37.9′N	137°54.0′E	11km	Ｍ5.2	５弱
19	2018/05/07 05:00:48.4	岩手県内陸北部	39°35.7′N	141°09.6′E	98km	Ｍ5.1	４
20	2018/05/06 21:13:19.0	熊本県熊本地方	32°39.4′N	130°40.1′E	11km	Ｍ3.9	４
21	2018/04/24 17:53:21.7	根室半島南東沖	43°14.3′N	145°49.5′E	87km	Ｍ5.4	４
22	2018/04/14 15:13:27.8	愛知県西部	34°49.4′N	137°07.6′E	6km	Ｍ4.5	４
23	2018/04/14 04:00:01.8	根室半島南東沖	43°10.5′N	145°44.2′E	53km	Ｍ5.4	５弱
24	2018/04/09 05:05:42.8	島根県西部	35°10.4′N	132°35.2′E	9km	Ｍ4.6	４
25	2018/04/09 02:10:55.7	島根県西部	35°10.3′N	132°35.0′E	10km	Ｍ4.9	４
26	2018/04/09 01:56:46.0	島根県西部	35°11.0′N	132°34.5′E	10km	Ｍ4.8	４
27	2018/04/09 01:43:53.3	島根県西部	35°10.0′N	132°35.4′E	10km	Ｍ4.5	４
28	2018/04/09 01:32:30.8	島根県西部	35°11.0′N	132°35.2′E	12km	Ｍ6.1	５強
29	2018/03/30 08:17:33.6	茨城県沖	36°26.5′N	140°37.2′E	56km	Ｍ5.1	４
30	2018/03/23 06:32:20.6	宮城県沖	38°52.8′N	142°04.6′E	45km	Ｍ5.1	４
31	2018/03/01 22:42:26.7	西表島付近	24°14.9′N	123°49.2′E	15km	Ｍ5.6	５弱
